,,x
1996,1,79.35
,2,75.78
,3,86.32
,4,72.6
,5,74.86
,6,83.81
,7,79.8
,8,62.41
,9,85.41
,10,83.11
,11,84.21
,12,89.7
1997,13,78.64
,14,77.42
,15,89.86
,16,81.27
,17,78.68
,18,89.51
,19,83.67
,20,69.8
,21,91.09
,22,89.43
,23,91.04
,24,92.87
1998,25,81.87
,26,85.36
,27,92.98
,28,81.09
,29,85.64
,30,91.14
,31,83.46
,32,66.37
,33,93.34
,34,85.93
,35,86.81
,36,93.3
1999,37,81.59
,38,81.77
,39,91.24
,40,79.45
,41,86.99
,42,96.6
,43,97.99
,44,79.13
,45,103.56
,46,100.89
,47,99.4
,48,111.8
2000,49,95.3
,50,97.77
,51,116.23
,52,100.98
,53,104.07
,54,114.64
,55,107.62
,56,96.12
,57,123.5
,58,116.12
,59,116.86
,60,128.61
2001,61,100.56
,62,103.05
,63,119.06
,64,92.46
,65,98.75
,66,111.14
,67,96.13
,68,79.72
,69,102.07
,70,96.18
,71,101.26
,72,109.85
